Job Name ,Job Link,Job Description,Job Location,Company Name
Accountant,https://wuzzuf.net/jobs/p/4eL2UkaYlCk8-Accountant-Dyar-for-construction-contractors-Giza-Egypt,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · Accounting · accountant · Construction · Business Administration · Financial Analysis · Financial Management · Real Estate · Financial Reporting,"6th of October, Giza, Egypt ",Dyar for construction & contractors -
Tax Accountant,https://wuzzuf.net/jobs/p/itcrtt7uBZVR-Tax-Accountant-Giza-Egypt,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · accountant · Accounting · Finance · Tax · tax accountant · Bookkeeping · Accounting Software · Financial Analysis · Software,"Sheikh Zayed, Giza, Egypt ",Confidential -
Cost Accountant,https://wuzzuf.net/jobs/p/bodoaluIImKD-Cost-Accountant-EHFS-Cairo-Egypt,Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · analytical · Cost · Cost Accounting · excel · Finance · Financial Analysis,"Nozha, Cairo, Egypt ",EHFS -
User Acceptance Testing Analyst,https://wuzzuf.net/jobs/p/aAsArvw5ZhGG-User-Acceptance-Testing-Analyst-Etisalat-Egypt-Cairo-Egypt,Full TimeOn-siteEntry Level · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · Computer Science · Information Technology (IT) · Software · User Acceptance Testing,"Maadi, Cairo, Egypt ",Etisalat Egypt -
Treasury Manager,https://wuzzuf.net/jobs/p/DRY2CquJVxJY-Treasury-Manager-EGMED-Cairo-Egypt,Full TimeOn-siteManager · 15 - 20 Yrs of Exp · Accounting/Finance · Banking · Accounting · Financial Analysis · Management,"Sheraton, Cairo, Egypt ",EGMED -
Internal Auditor,https://wuzzuf.net/jobs/p/hVpyqBaXDxCR-Internal-Auditor-Alexandria-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Administration · Analyst/Research · Financial Accounting · Auditing · Audit · Internal audit · Financial Analysis · accountant · Accounting,"Ameria, Alexandria, Egypt ",Confidential -
Junior Tax Accountant Specialist,https://wuzzuf.net/internship/b72CAlpZM9mB-Junior-Tax-Accountant-Specialist-Hayat-Cairo-Egypt,InternshipOn-siteEntry Level · Accounting/Finance · Accounting · Finance · Financial Analysis,"Nasr City, Cairo, Egypt ",Hayat -
General Accountant,https://wuzzuf.net/jobs/p/jqCD0Q3KOvlA-General-Accountant-Giza-Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Banking · Accounting · CMA · CPA · excel · Finance · Financial Analysis · Financial Management · General Ledger,"Giza, Egypt ",Confidential -
Senior software business analyst,https://wuzzuf.net/jobs/p/1K7MAAafwixQ-Senior-software-business-analyst-SURE-International-Technology-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Business Analysis · Communication skills · SQL · Software Development · Computer Science · business · Technical Writing,"Nasr City, Cairo, Egypt ",SURE International Technology -
Junior Accountant,https://wuzzuf.net/jobs/p/nrLwN3ft5LHv-Junior-Accountant-Cairo-Egypt,Full TimeRemoteEntry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Administration · Accounting · Finance · Financial Reporting · MS Office · Reporting · Financial Analysis,"Cairo, Egypt ",Confidential -
Laboratory Quality Control Specialist,https://wuzzuf.net/jobs/p/LjCNvREMoUih-Laboratory-Quality-Control-Specialist-El-Negma-Pasta-Factory-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Quality · Analysis · Microsoft Office · quality · Quality Control · Manufacturing · Testing,"Shubra, Cairo, Egypt ",El Negma Pasta Factory  -
Group Internal Audit Manager,https://wuzzuf.net/jobs/p/dRFQPj0AaIwG-Group-Internal-Audit-Manager-Egyptian-Company-for-Cosmetics-Cairo-Egypt,Full TimeOn-siteSenior Management · 8 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Auditing · Audit · Accounting · business · Compliance · Finance · Financial Analysis,"Nasr City, Cairo, Egypt ",Egyptian Company for Cosmetics -
Senior Financial Accountant,https://wuzzuf.net/jobs/p/NRPmC5fqffBP-Senior-Financial-Accountant-Polaris-mining-L-L-C-Cairo-Egypt,Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Finance · accountant · Financial Management · Financial Analysis,"New Cairo, Cairo, Egypt ",Polaris mining L.L.C -
Accountant,https://wuzzuf.net/jobs/p/W1f45uTJzJeH-Accountant-Hany-Alshaikh-accountant-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · accountant · Finance · Accounting · Financial Analysis · Financial Management · Accounting Software · CMA · CPA · excel,"Giza, Egypt ",Hany Alshaikh accountant -
Learning Operations Specialist,https://wuzzuf.net/jobs/p/Xg0QKrrIZnXu-Learning-Operations-Specialist-Sprints-ai-Cairo-Egypt,Full TimeHybridExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Training/Instructor · Customer Care · Customer Service · Communication · English · Operations · Business Analytics · Analysis · Reporting Analysis,"Maadi, Cairo, Egypt ",Sprints.ai -
Payable & Receivable Accountant,https://wuzzuf.net/jobs/p/hWWaYiiCdm0Z-Payable-Receivable-Accountant-Egyptian-Engineering-Industries-Giza-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounting · ERP · excel · Finance · Financial Analysis · accountant · Accounts Payable · MS Office,"Abu Rawash, Giza, Egypt ",Egyptian Engineering Industries   -
Accountant,https://wuzzuf.net/jobs/p/urVEqzImry3I-Accountant-Wiredsun-Studio-Giza-Egypt,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Management · Financial Reporting · Accounting principles · accuracy · Communication · Data Entry,"Giza, Egypt ",Wiredsun Studio  -
Accountant,https://wuzzuf.net/jobs/p/VLk87n3nuNRH-Accountant-BL-Fashion-and-Personal-Supplies-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · females_only · Accounting/Finance · Accounting · Accounting Software · excel · Finance · Financial Analysis · Financial Management · General Ledger,"New Cairo, Cairo, Egypt ",BL Fashion and Personal Supplies  -
Accounting Manager,https://wuzzuf.net/jobs/p/1gzxDQBi6zLy-Accounting-Manager-Happy-Vision-Giza-Egypt,Full TimeOn-siteManager · 5+ Yrs of Exp · Accounting/Finance · Accounting · CMA · Accounting Software · Finance · Financial Analysis · Financial Management · IFRS · GAAP · Microsoft Office,"Mohandessin, Giza, Egypt ",Happy Vision -
Accountant,https://wuzzuf.net/jobs/p/iGhpzaPqfQ79-Accountant-El-Rwad-Group-Alexandria-Egypt,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Accounting/Finance · Accounting · Human Resources (HR) · Communication skills · Accounting Software · English · ERP · Finance · Financial Analysis · Financial,"Agami, Alexandria, Egypt ",El Rwad Group -
Senior Tax Accountant,https://wuzzuf.net/jobs/p/yOVa3dUZVBLc-Senior-Tax-Accountant-Cairo-Egypt,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · males_only · Accounting/Finance · accountant · Accounting · Accounting Software · Bookkeeping · excel · Finance · Financial Management · Tax · tax accountant,"15th May City, Cairo, Egypt ",Confidential -
Commercial Admin Assistant,https://wuzzuf.net/jobs/p/Xa89UyuRTWRL-Commercial-Admin-Assistant-QARA-Cairo-Egypt,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Administration · Microsoft Excel · dashboard · Analysis · Reporting · Management · Microsoft Office,"New Cairo, Cairo, Egypt ",QARA -
Internal Auditor,https://wuzzuf.net/jobs/p/FmfJdeVN2Spy-Internal-Auditor-Titan-Cement-Egypt-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Accounting/Finance · Analyst/Research · analytical · Audit · Auditing · CIA · SAP · Internal audit · Financial Analysis · Microsoft Office,"Sheraton, Cairo, Egypt ",Titan Cement Egypt  -
QHSE Manager,https://wuzzuf.net/jobs/p/EyciS4NE99oN-QHSE-Manager-Genedy-Group-Construction-Cairo-Egypt,Full TimeHybridManager · 12 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quality · Engineering - Other · Engineering · Quality Assurance · ISO · Data Analysis · Leadership · HSE · QHSE management,"Maadi, Cairo, Egypt ",Genedy Group Construction  -
Financial Accountant,https://wuzzuf.net/jobs/p/lKaHbGPYWcUI-Financial-Accountant-TLA-FOR-TRADING-AND-DISTRIBUTION-Alexandria-Egypt,Full TimeOn-siteManager · 3 - 5 Yrs of Exp · Accounting/Finance · Odoo System · Accounting · Taxes · Financial Management · Financial Analysis · Finance · excel,"Gomrok, Alexandria, Egypt ",TLA FOR TRADING AND DISTRIBUTION  -
Accountant,https://wuzzuf.net/jobs/p/F0fw1byJIrUj-Accountant-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt,Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · Financial Analysis · Financial Management · General Ledger,"Zamalek, Cairo, Egypt ",Al Ahly capital holding - Al Ahly Tamkeen -
General Accountant,https://wuzzuf.net/jobs/p/aFFDAascnCtc-General-Accountant-Al-Khail-Industries-Trading-Giza-Egypt,Full TimeOn-siteExperienced · 5+ Yrs of Exp · males_preferred · Accounting/Finance · Banking · Accounting Software · Accounting · ERP · excel · Financial Analysis · Financial Management · General Ledger · MS Excel,"6th of October, Giza, Egypt ",Al-Khail Industries & Trading  -
Tax Manager,https://wuzzuf.net/jobs/p/vTfKHU0LpDmr-Tax-Manager-Cairo-Egypt,Full TimeOn-siteManager · 8 - 15 Yrs of Exp · Accounting/Finance · Accounting · Tax · Software · Financial Analysis,"Maadi, Cairo, Egypt ",Confidential -
Cost Accountant,https://wuzzuf.net/jobs/p/44MibZsf2Tsa-Cost-Accountant-International-Food-Consumable-Goods---Egypt-S-A-E-Giza-Egypt,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · FMCG · Cost Accounting · Finance · ERP · Cost Control · Cost · Project Cost Control · Cost Management,"6th of October, Giza, Egypt ",International Food & Consumable Goods - Egypt S.A.E -
accountant,https://wuzzuf.net/jobs/p/l8VgvH4iguu2-accountant-Egyptian-Danish-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Administration · Accounting · excel · Finance · CPA · CMA · Financial Analysis · MS Excel,"6th of October, Giza, Egypt ",Egyptian Danish -
Cost Accountant,https://wuzzuf.net/jobs/p/q0zNf6PVf1ek-Cost-Accountant-Sharqia-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Cost Accounting · Accounting · Finance · Manufacturing · accountant · Accounting Software · analytical · Cost Accountant · Cost,"10th of Ramadan City, Sharqia, Egypt ",Confidential -
General Accountant,https://wuzzuf.net/jobs/p/JARE7yEAi6Gq-General-Accountant-Al-Bostany-Group-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · CMA · CPA · excel · Finance · Financial Analysis · Financial Management · GAAP,"Cairo, Egypt ",Al-Bostany Group -
Internal Audit Senior Manager,https://wuzzuf.net/jobs/p/LHTnOTn8GdMs-Internal-Audit-Senior-Manager-SAVOLA-Cairo-Egypt,Full TimeOn-siteManager · 10 - 12 Yrs of Exp · Accounting/Finance · CA · Accounting · Finance · Internal Audit · Auditing · FMCG · Business Administration · Commerce · CPA,"Nasr City, Cairo, Egypt ",SAVOLA -
Group Marketing Manager - Retail/FMCG,https://wuzzuf.net/jobs/p/ue54bb7zHsbR-Group-Marketing-Manager---RetailFMCG-Exception-Patisserie-Giza-Egypt,Full TimeOn-siteManager · 7 - 15 Yrs of Exp · Marketing/PR/Advertising · Marketing · Market Research · Digital Marketing · Marketing Campaigns · FMCG · Social Media · Competitive Analysis · Promotions · Growth Hacking,"6th of October, Giza, Egypt ",Exception Patisserie -
Field Research Consultant,https://wuzzuf.net/jobs/p/I36hJFWfeITS-Field-Research-Consultant-Abt-Associates-Giza-Egypt,Part TimeHybridExperienced · 10+ Yrs of Exp · Writing/Editorial · Strategy/Consulting · Market Research · Data Collection · USAID projects · Fluent English · Master Professional Reporting · Agriculture · Agibusiness,"Dokki, Giza, Egypt ",Abt Associates -
Site Accountant,https://wuzzuf.net/jobs/p/ZgZbQNsQXAhy-Site-Accountant-Winners-Developer-Alexandria-Egypt,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Administration · accountant · Accounting · Construction · Finance · ERP · SITE ACCOUNTANT · Site · Microsoft Excel,"Glim, Alexandria, Egypt ",Winners Developer -
Senior Internal Auditor,https://wuzzuf.net/jobs/p/JNEM6b6A3yWd-Senior-Internal-Auditor-Jazeera-Paints-Sharqia-Egypt,Full TimeOn-siteExperienced · 5+ Yrs of Exp · Accounting/Finance · Finance · Accounting · Auditing · auditor · SAP · Internal auditor · Internal auditing · Financial Management · Financial Analysis,"10th of Ramadan City, Sharqia, Egypt ",Jazeera Paints -
Junior Accountant,https://wuzzuf.net/jobs/p/gaUS4WG9gbam-Junior-Accountant-ariika-Cairo-Egypt,Full TimeOn-siteEntry Level · 2 - 4 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Financial Reporting · Microsoft Office · MS Office · Odoo ERP · Financial Analysis · Financial,"New Cairo, Cairo, Egypt ",ariika -
Senior Business Process Specialist,https://wuzzuf.net/jobs/p/9CZfApYQqniY-Senior-Business-Process-Specialist-Nahdet-Misr-Publishing-Group-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Business Development · business · Analysis · Business Administration · Business Analysis · Management · Communication · Project Management,"Mohandessin, Giza, Egypt ",Nahdet Misr Publishing Group -
Business Process Engineer,https://wuzzuf.net/jobs/p/MsS4GFitfU1u-Business-Process-Engineer-Kandil-Glass-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Business Development · Engineering - Telecom/Technology · Analysis · business · Computer Science · ERP · Engineering · Project Management · Information Technology (IT) · Business Administration,"10th of Ramadan City, Cairo, Egypt ",Kandil Glass  -
Accountant,https://wuzzuf.net/jobs/p/zHcQiV0x5IKT-Accountant-Siera-Light-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · excel · Finance · Financial Analysis · Financial Management · MS Office · GAAP · CPA · CMA,"New Cairo, Cairo, Egypt ",Siera Light -
Cost Accountant,https://wuzzuf.net/jobs/p/JwKmuUbhtiu4-Cost-Accountant-Alexandria-Egypt,Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · Accounting/Finance · Accounting · accountant · Cost · analytical · Cost Accountant · Cost Accounting · Cost Analyst · Finance · Financial Analysis,"Alexandria, Egypt ",Confidential -
Bookkeeper,https://wuzzuf.net/jobs/p/SmLyIDGcA5xh-Bookkeeper-TradeSapce-Calgary-Canada,Full TimeRemoteExperienced · 3+ Yrs of Exp · Accounting/Finance · Accounting · Bookkeeper · Bookkeeping · Finance · Financial Analysis,"Calgary, Canada ",TradeSapce -
Accounting Manager,https://wuzzuf.net/jobs/p/Q460yyNHP7KP-Accounting-Manager-Cairo-Egypt,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Accounting/Finance · Accounting · Construction · Finance · Financial Analysis · Financial Management · Real Estate · Management · finance manager,"New Cairo, Cairo, Egypt ",Confidential -
Financial Planning Analyst,https://wuzzuf.net/jobs/p/nYq6M1VAgfcs-Financial-Planning-Analyst-Mediterraneo-Trading-Cairo-Egypt,Full TimeOn-siteEntry Level · 2 - 4 Yrs of Exp · Accounting/Finance · ERP · CMA · Analysis · Finance · Financial Analysis · Financial Management · costing · Budgeting,"New Cairo, Cairo, Egypt ",Mediterraneo Trading -
Cost Accountant,https://wuzzuf.net/jobs/p/PyYnvIlQ8VLZ-Cost-Accountant-Tarek-Trade-Furniture-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · Accounting/Finance · Cost · Cost Accounting · Accounting · Finance · GAAP · General Ledger · Manufacturing · Financial · Financial Analysis,"Obour City, Cairo, Egypt ",Tarek Trade Furniture  -
Accountant,https://wuzzuf.net/jobs/p/2HTmPWfv0ZOZ-Accountant-Cairo-Egypt,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Financial Analysis,"New Cairo, Cairo, Egypt ",Confidential -
General Accountant,https://wuzzuf.net/jobs/p/rYEw9MSuk13G-General-Accountant-cairo-housing-and-development-Cairo-Egypt,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · Accounting/Finance · accountant · Finance · Accounting · Financial Management · Financial Analysis,"New Cairo, Cairo, Egypt ",cairo housing and development -
Senior Business Analyst,https://wuzzuf.net/jobs/p/o6AvaG8Ca28e-Senior-Business-Analyst-Giza-Egypt,Full TimeOn-siteExperienced · 2 - 19 Yrs of Exp · IT/Software Development · Business Analysis · Information Technology (IT) · business · Analysis · Business Administration · Business Development · Project Management,"Dokki, Giza, Egypt ",Confidential -
Accountant,https://wuzzuf.net/jobs/p/8zDPWEecFgf8-Accountant-Minya-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · excel · Finance · MS Excel · Financial Management · General Ledger · GAAP · Financial Analysis · Accounting principles,"New Menia, Minya, Egypt ",Confidential -
Junior Accountant,https://wuzzuf.net/jobs/p/BMUbUC0JRWpC-Junior-Accountant-Micro-Engineering-Cairo-Egypt,Full TimeShift BasedOn-siteEntry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Administration · Banking · Accounting · computer software · Finance · Financial Analysis · Financial Reporting · Microsoft Office · MS Office,"Heliopolis, Cairo, Egypt ",Micro Engineering -
Quality Assurance Specialist,https://wuzzuf.net/jobs/p/J3p4MJGlc4G9-Quality-Assurance-Specialist-Mavens-Consulting-Giza-Egypt,Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Customer Service/Support · Quality · QA · Quality Assurance · Communication skills · quality · Call Center · Quality Assurance Specialist · Experience · Monitoring,"Smart Village, Giza, Egypt ",Mavens Consulting -
Software Business Analyst,https://wuzzuf.net/jobs/p/EAbz4EyWzrQJ-Software-Business-Analyst-Alexandria-Egypt,Full TimePart TimeFreelance / ProjectRemoteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Software · Analysis · business · Communication · Communication skills · Computer Science · Data,"Alexandria, Egypt ",Confidential -
Senior ETL Developer,https://wuzzuf.net/jobs/p/fdvA16qMAWVp-Senior-ETL-Developer-BBI-Consultancy-Cairo-Egypt,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL · ETL,"Nasr City, Cairo, Egypt ",BBI-Consultancy -
General Accountant,https://wuzzuf.net/jobs/p/GlLmHS4ibrIh-General-Accountant-Cairo-Egypt,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Payable Accounting · Accounts Receivable · Finance · Financial Management,"Cairo, Egypt ",Confidential -
Specification Executive,https://wuzzuf.net/jobs/p/dmHsMlQbfiOy-Specification-Executive-Jotun-Paints-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Business Development · Sales · Projects · Technical Sales · Technical Presentations · Communication · Technical Analysis,"Cairo, Egypt ",Jotun Paints -
Supply Chain Specialist,https://wuzzuf.net/jobs/p/3eXPJh1DTOnQ-Supply-Chain-Specialist-Cellopack-for-Packaging-Industries-Giza-Egypt,Full TimeOn-siteExperienced · 0 - 3 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Engineering - Mechanical/Electrical · Engineering · Negotiation · Purchasing · Supply Chain · Analysis · Logistics · Procurement,"6th of October, Giza, Egypt ",Cellopack for Packaging Industries -
Finance Manager,https://wuzzuf.net/jobs/p/9ElMWVNkqFwc-Finance-Manager-Jeddah-Saudi-Arabia,Full TimeOn-siteManager · 15 - 20 Yrs of Exp · males_only · Accounting/Finance · Financial Analysis · finance manager · Finance · analytical · Accounting,"Jeddah, Saudi Arabia ",Confidential -
Accounting Manager,https://wuzzuf.net/jobs/p/m0oGVgevIMhU-Accounting-Manager-Benaa-Real-estate-Dev-Investment-Cairo-Egypt,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Accounting/Finance · Accounting · CMA · Microsoft Excel · excel · Real Estate · Construction · MBA · Financial Analysis · Financial Management,"New Cairo, Cairo, Egypt ",Benaa Real estate Dev. & Investment -
Accountant,https://wuzzuf.net/jobs/p/4XjKW22oviLX-Accountant-Blue-Nile-Boat-Maadi-Cairo-Egypt,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Administration · Accounting · Accounting Software · CMA · excel · Financial Management · Financial Analysis,"Maadi, Cairo, Egypt ",Blue Nile Boat Maadi  -
Financial Planning And Analysis,https://wuzzuf.net/jobs/p/zJ46Ap6LGaWm-Financial-Planning-And-Analysis-Tiba-Egypt-Cairo-Egypt,Full TimeShift BasedOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Financial Planning · financial analyst · Budgeting · Finance · Financial · Financial Management · Planning,"Katameya, Cairo, Egypt ",Tiba Egypt  -
Research And Development Engineer,https://wuzzuf.net/jobs/p/GHWWA0les1AA-Research-And-Development-Engineer-International-Food-Consumable-Goods---Egypt-S-A-E-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · R&D/Science · Operations/Management · Manufacturing/Production · Research · Business Development · Research Development · Analysis · Design · Data Analysis · R&D,"6th of October, Giza, Egypt ",International Food & Consumable Goods - Egypt S.A.E -
Cost Control Accountant,https://wuzzuf.net/jobs/p/uBJSJjyeYznP-Cost-Control-Accountant-LYCHEE-EGYPT-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Accounting/Finance · Cost Control · Cost · Control · Finance · accountant · Reporting · Manufacturing · FMCG · Financial Analysis,"New Cairo, Cairo, Egypt ",LYCHEE EGYPT -
Total Rewards Senior Specialist,https://wuzzuf.net/jobs/p/jNhuMNlDzcsU-Total-Rewards-Senior-Specialist-Sky-logistics-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Human Resources · Other · Benefits · Communication skills · Total rewards · Human Resources (HR) · Microsoft Excel · job analysis · HRIS · Analytical Skills,"Sheikh Zayed, Giza, Egypt ",Sky logistics -
Accounting Manager,https://wuzzuf.net/jobs/p/iigFEBfYGaTT-Accounting-Manager-One-Electronics-Cairo-Egypt,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Accounting/Finance · Operations/Management · Compliance · Financial Analysis · Financial Management · Financial Reports · Financial Accounting · Financial · Accounting · Accounting Manager,"Cairo, Egypt ",One Electronics -
General Accountant,https://wuzzuf.net/jobs/p/Br0Yd8HI7llE-General-Accountant-Kandeel-Group-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Banking · Accounting · Construction · Finance · Financial Management · Management · MS Office · office · MS,"New Cairo, Cairo, Egypt ",Kandeel Group -
Senior Cost Accountant (Manufacturing Industry),https://wuzzuf.net/jobs/p/I6pkAwk5iweg-Senior-Cost-Accountant-Manufacturing-Industry-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication · Cost Accounting · ERP System · Finance · Financial Management · Cost · English,"Obour City, Cairo, Egypt ",Selah ElTelmeez For Publishing & printing -
German Real Time Analyst,https://wuzzuf.net/jobs/p/rMQc8CCqGFGg-German-Real-Time-Analyst-Teleperformance---Egypt-Cairo-Egypt,Full TimeOn-siteExperienced · 1+ Yrs of Exp · Analyst/Research · Workforce Management · Analysis · workforce · excel · Customer Care · Genesys · Avaya · Call Center · Operations,"Katameya, Cairo, Egypt ",Teleperformance - Egypt -
Tax Accountant,https://wuzzuf.net/jobs/p/NhZC0iTOQGdA-Tax-Accountant-UDesign-for-Construction-Décor-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Accounting/Finance · accountant · Accounting · Bookkeeping · CMA · CPA · Finance · Financial Analysis · Tax · tax accountant,"New Cairo, Cairo, Egypt ",UDesign for Construction & Décor -
Accountant,https://wuzzuf.net/jobs/p/rEHbpt32Kdp9-Accountant-ESC-Cairo-Egypt,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Administration · Accounting · Accounting Software · accuracy · Construction · Finance · Financial · Financial Analysis · Financial Management,"New Cairo, Cairo, Egypt ",ESC -
Digital Marketing Specialist,https://wuzzuf.net/jobs/p/IHsd4fcy5gkj-Digital-Marketing-Specialist-3D-Diagnostix-Cairo-Egypt,Full TimeHybridExperienced · 1 - 3 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · digital marketing · Digital Marketing Specialist · Marketing · marketing specialist · Social Media · specialist · E-Marketing,"Maadi, Cairo, Egypt ",3D Diagnostix -
Financial Analyst,https://wuzzuf.net/jobs/p/TSezUFsP0Qui-Financial-Analyst-DABBAGH-Group-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Odoo,"Sheraton, Cairo, Egypt ",DABBAGH Group  -
Data Analyst,https://wuzzuf.net/jobs/p/KZEzU6kSB5X0-Data-Analyst-Royal-Lab-Cairo-Egypt,Full TimeOn-siteExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analyst · Information Technology (IT) · Analyst,"Heliopolis, Cairo, Egypt ",Royal Lab -
Data Analyst/Market Researcher,https://wuzzuf.net/jobs/p/g/E6nBKjbpABF7-Data-AnalystMarket-Researcher-StriveNest-Riyadh-Saudi-Arabia,Full TimeEntry Level · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Market Research · Marketing · Analysis · Research · Data Analysis · Business Administration · Business,"Riyadh, Saudi Arabia ",StriveNest -
Cost Accountant - 10th Of Ramadan,https://wuzzuf.net/jobs/p/iJQF3dfzJeiW-Cost-Accountant---10th-Of-Ramadan-Good-Seal-Packaging-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Cost Accountant · Accounting · Cost Analyst · Financial Analysis · excel · Finance · Cost · accountant,"10th of Ramadan City, Cairo, Egypt ",Good Seal Packaging   -
Sales & Marketing Executive,https://wuzzuf.net/jobs/p/C0jPXDt4VXbp-Sales-Marketing-Executive-Baha-company-Cairo-Egypt,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Marketing · sales skills · Administration · Analysis · business · Business Administration · Commercial · Data Analysis,"10th of Ramadan City, Cairo, Egypt ",Baha company -
Senior Budget Analyst,https://wuzzuf.net/jobs/p/gVDU2YXusilG-Senior-Budget-Analyst-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Analysis · CMA · Finance · SAP · Budgeting,"Sheraton, Cairo, Egypt ",Confidential -
